"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q8","Q9_First.Click","Q9_Last.Click","Q9_Page.Submit","Q9_Click.Count","Q13","Q10_First.Click","Q10_Last.Click","Q10_Page.Submit","Q10_Click.Count","Q11_First.Click","Q11_Last.Click","Q11_Page.Submit","Q11_Click.Count","Q12_First.Click","Q12_Last.Click","Q12_Page.Submit","Q12_Click.Count","id","Q2_1","Q2_2","Q2_3","Q2_4","Q2_5","Q2_6","Q2_7","Q2_8","Q2_9","Q2_10","Q2_11","Q2_12","Q2_13","Q2_14","Q2_15","Q2_16","Q2_17","Q2_18","Q2_19","Q2_20","Q2_21","Q4_1","Q4_2","Q4_3","Q4_4","Q4_5","Q4_6","Q4_7","Q4_8","Q4_9","Q4_10","Q4_11","Q4_12","Q4_13","Q4_14","Q4_15","Q4_16","Q4_17","Q4_18","Q4_19","Q4_20","Q5_1","Q5_2","Q5_3","Q5_4","Q5_5","Q5_6","Q5_7","Q5_8","Q5_9","Q5_10","Q5_11","Q5_12","Q5_13","Q5_14","Q5_15","Q5_16","Q5_17","Q5_18","Q5_19","Q5_20","totalbad"
"110","2/27/18 13:06","2/27/18 13:13",0,"146.7.4.86",100,430,1,"2/27/18 13:13","R_3iFjrJWZ4mPiqPt",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,6.468,9.379,11.194,6,"",1.45,163.13,165.305,55,9.189,121.218,123.391,61,6.644,123.163,126.097,55,55893,4,3,3,3,5,4,4,4,4,3,4,5,3,3,3,3,5,5,4,3,1,4,4,4,3,3,5,1,1,2,3,1,4,3,4,4,3,2,1,5,4,5,5,4,4,2,3,3,3,4,3,1,1,3,4,4,3,4,5,3,2,3
"111","2/27/18 13:20","2/27/18 13:27",0,"146.7.4.92",100,381,1,"2/27/18 13:27","R_3M6unpscViPBUCz",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,4.192,4.192,12.481,1,"",7.091,85.533,89.807,25,22.813,103.883,105.656,23,27.212,166.675,168.953,20,55318,5,4,5,5,4,5,5,5,4,3,5,5,5,5,4,4,5,5,5,4,1,4,4,1,4,5,5,1,1,4,2,2,5,4,4,5,2,4,2,4,4,4,5,4,5,2,4,3,4,5,4,5,4,4,2,4,3,4,3,4,1,3
"112","2/27/18 13:29","2/27/18 13:41",0,"146.7.4.73",100,743,1,"2/27/18 13:41","R_3r36lVQ5MaAOcdy",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,5.2,5.2,7.611,1,"",9.277,105.956,112.028,29,89.515,504.413,507.118,36,10.39,114.612,116.065,24,54679,5,4,4,4,5,4,5,4,4,4,5,5,1,3,5,5,5,5,3,4,1,4,5,4,4,4,5,2,4,4,2,2,5,5,5,4,4,5,1,5,4,5,5,4,4,3,4,4,4,4,5,2,4,4,5,4,3,3,3,4,3,4
"113","2/27/18 14:11","2/27/18 14:17",0,"146.7.113.129",100,362,1,"2/27/18 14:17","R_8tQ7Ka0AMOwyyhb",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,6.694,6.694,15.569,1,"",7.53,112.487,114.487,25,4.595,107.409,109.7,20,16.162,116.047,117.718,22,55751,4,4,4,5,5,4,5,4,5,3,2,2,2,3,5,4,2,2,5,5,1,5,5,4,4,3,4,1,4,4,4,1,2,3,3,5,3,2,1,2,4,3,2,1,4,1,4,5,4,4,3,5,2,4,3,4,3,5,3,3,2,4
"114","2/27/18 15:20","2/27/18 15:25",0,"146.7.4.75",100,341,1,"2/27/18 15:25","R_3CPfxamCt9s2nOg",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,24.161,34.858,41.203,2,"",3.334,95.367,97.896,21,9.008,116.617,118.894,21,2.814,77.064,79.281,19,54515,3,5,5,5,5,4,5,4,4,5,5,5,1,4,5,5,5,5,3,4,1,5,4,5,5,3,5,1,1,3,4,1,5,1,5,5,3,1,1,5,4,5,5,5,5,5,3,3,3,5,5,1,1,4,3,4,3,3,3,5,5,5
"115","2/27/18 15:27","2/27/18 15:33",0,"146.7.115.83",100,364,1,"2/27/18 15:33","R_RqS39aAzsr537Rn",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,4.15,4.15,9.233,1,"",7.677,102.7,104.978,21,8.241,136.44,138.263,23,4.33,106.041,108.176,20,55763,4,4,4,4,4,4,4,5,4,2,3,3,2,3,5,5,4,4,3,5,1,4,3,4,4,3,4,2,3,4,4,2,4,4,3,5,4,2,2,4,4,4,4,5,4,5,3,4,4,5,4,2,2,4,3,4,3,4,3,3,4,3
"116","2/27/18 15:39","2/27/18 15:47",0,"146.7.4.92",100,512,1,"2/27/18 15:47","R_2ah3ZWdeNlW1PSm",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,3.657,6.635,8.55,6,"",14.112,185.445,189.353,22,4.863,161.665,164.596,23,9.171,143.098,145.47,20,54894,4,4,4,3,5,3,5,4,3,3,2,3,2,3,4,4,4,3,4,4,1,4,3,3,3,3,5,1,3,3,3,1,4,3,4,5,2,1,1,4,4,4,3,3,4,4,3,4,3,4,3,4,1,3,4,4,3,4,3,3,2,3
"117","2/27/18 16:01","2/27/18 16:07",0,"146.7.4.88",100,366,1,"2/27/18 16:07","R_27kBNVxcw2WOyJX",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,4.374,4.374,8.194,1,"",8.495,119.913,124.565,26,9.828,97.945,103.997,23,9.51,121.629,125.121,22,55299,4,5,3,4,5,5,5,5,5,3,4,5,1,2,4,4,5,5,5,4,1,5,5,5,5,4,5,1,5,5,3,4,4,3,5,5,3,3,1,1,4,4,5,4,4,4,3,3,3,5,4,4,3,4,4,5,3,5,5,5,2,4
"118","2/27/18 16:24","2/27/18 16:29",0,"146.7.4.89",100,305,1,"2/27/18 16:29","R_RfvIcuTWdkG9VTj",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,26.202,26.202,28.659,1,"",4.11,94.12,95.581,23,6.868,93.283,94.991,21,3.088,81.369,82.86,21,54438,4,4,3,3,4,4,4,5,5,4,4,5,2,4,5,5,4,3,5,4,4,5,4,5,3,4,4,2,3,4,4,3,5,3,3,4,3,4,3,5,4,4,3,3,4,4,4,4,4,4,4,5,3,4,4,4,3,5,3,3,1,4
"119","2/27/18 16:47","2/27/18 16:52",0,"146.7.4.88",100,306,1,"2/27/18 16:52","R_1CaxnORs8U7h2S1",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,11.565,11.565,18.177,1,"",4.369,94.287,95.74,26,3.874,90.078,91.303,23,11.415,96.531,97.398,21,54751,3,3,3,1,4,3,4,4,4,3,2,3,2,4,3,3,2,2,4,4,1,4,4,5,3,3,4,1,1,4,3,1,4,3,3,5,3,4,1,3,4,4,3,3,3,2,3,4,5,4,2,4,1,4,4,5,3,5,5,4,2,4
"120","2/27/18 16:51","2/27/18 17:02",0,"146.7.4.91",100,687,1,"2/27/18 17:02","R_xDHpNfDMRZPIDdL",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,2.28,2.28,9.558,1,"",26.225,305.475,307.166,23,7.021,208.386,209.695,21,13.126,155.901,157.152,22,55273,4,3,4,3,3,3,3,4,3,2,3,4,3,3,4,4,5,5,4,4,1,3,3,3,3,3,4,1,1,2,2,1,3,3,5,4,1,2,3,5,4,4,5,5,3,4,4,3,4,4,5,2,1,3,5,3,3,5,3,4,2,4
"121","2/27/18 16:49","2/27/18 17:04",0,"146.7.4.90",100,877,1,"2/27/18 17:04","R_2wgHFLWnydDDinw",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,11.615,46.165,50.697,2,"",27.946,384.691,411.963,25,12.783,208.73,211.626,21,44.34,198.057,199.569,21,55305,4,3,4,4,5,4,4,5,5,2,1,3,1,4,4,4,5,2,4,4,1,4,4,4,3,5,5,2,2,4,3,1,5,5,4,5,3,2,1,5,4,5,3,5,4,4,4,3,4,4,4,2,1,3,1,4,3,4,3,4,2,4
"122","2/27/18 16:57","2/27/18 17:28",0,"66.87.73.142",100,1880,1,"2/27/18 17:28","R_8k9HUyDgvX3FHH3",NA,NA,NA,NA,38.99209595,-94.67710114,"anonymous","EN",1,2.141,7.009,8.987,5,"",4.535,183.828,184.828,86,3.82,138.159,139.038,74,1.312,1540.364,1541.519,67,55234,5,3,3,4,3,5,3,5,5,3,5,2,3,3,2,3,5,5,5,5,1,5,3,3,4,5,5,1,5,4,4,1,5,5,4,5,3,5,4,5,4,3,5,1,5,3,4,4,2,4,5,3,5,5,3,5,3,5,5,5,2,5
"123","2/27/18 17:28","2/27/18 17:33",0,"199.192.156.23",100,273,1,"2/27/18 17:33","R_3FKHaBMK19PsnYR",NA,NA,NA,NA,37.17019653,-93.32969666,"anonymous","EN",1,3.585,3.585,5.634,1,"",1.207,127.866,128.223,24,2.139,64.122,65.174,23,3.864,69.09,70.305,20,54729,4,4,4,4,4,3,4,4,4,2,4,5,1,3,4,2,4,5,4,3,1,4,4,4,4,4,4,2,3,5,3,1,4,4,4,4,3,4,1,4,4,4,4,2,3,4,3,3,4,4,4,3,1,4,5,4,3,3,3,4,4,5
"124","2/27/18 17:36","2/27/18 17:47",0,"146.7.4.87",100,693,1,"2/27/18 17:47","R_8uCfF21MeR5URl7",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,104.695,104.695,145.033,1,"",3.963,144.615,145.897,24,19.347,191.302,195.257,24,9.2,197.595,199.002,22,54470,3,4,5,5,5,4,5,5,5,4,5,5,1,4,4,4,5,5,4,5,1,4,4,5,5,3,4,2,1,4,4,1,4,5,5,5,2,5,2,5,4,5,5,4,5,2,5,4,5,5,5,2,1,4,4,4,3,4,3,5,2,5
"125","2/27/18 18:44","2/27/18 18:50",0,"146.7.4.84",100,373,1,"2/27/18 18:50","R_3oYdN5zhCAST1oO",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,10.153,53.5,56.236,4,"",19.348,82.653,83.966,25,8.52,127.489,129.37,26,7.671,91.717,93.203,26,55808,4,3,3,3,4,4,4,3,4,3,4,4,3,3,3,3,3,4,4,3,5,4,4,3,2,3,4,2,3,3,2,2,4,3,2,4,3,2,3,3,4,4,3,2,3,2,3,3,3,4,4,4,3,3,3,3,3,3,3,4,1,3
"126","2/27/18 18:50","2/27/18 18:58",0,"146.7.4.87",100,434,1,"2/27/18 18:58","R_2UgzY4pHvjNDdfc",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,17.013,17.013,20.347,1,"",8.285,127.122,129.788,27,12.346,155.599,159.415,23,9.171,118.048,120.469,26,55667,1,3,3,3,3,1,3,4,4,2,3,2,1,2,4,4,3,2,3,4,1,4,3,3,1,3,5,2,2,3,3,2,3,3,4,4,1,1,3,3,4,4,3,2,3,1,3,2,2,3,4,5,1,2,2,4,3,4,3,3,1,3
"127","2/27/18 19:00","2/27/18 19:07",0,"146.7.4.87",100,404,1,"2/27/18 19:07","R_1roTyc1nGR23puu",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,7.219,7.219,8.952,1,"",5.629,96.132,98.723,21,8.569,130.57,133.517,19,12.363,157.029,159.41,24,55397,3,3,3,4,4,4,4,4,4,2,4,4,3,2,4,4,4,4,4,4,5,4,4,4,4,4,2,1,5,4,3,2,4,2,4,3,2,4,2,4,4,4,4,3,3,2,3,4,3,4,3,5,2,4,4,4,3,4,4,4,1,5
"128","2/27/18 18:57","2/27/18 19:23",0,"146.7.4.84",100,1566,1,"2/27/18 19:23","R_1IiM5daiIv0dIHi",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,1.313,11.759,15.926,3,"",349.252,624.018,625.067,25,30.832,685.435,687.367,25,57.829,229.221,234.515,22,55889,5,5,5,5,5,5,5,5,5,4,4,5,3,4,5,5,4,4,5,5,1,5,3,3,5,5,5,1,3,5,5,3,4,4,4,5,3,1,3,5,4,5,5,4,5,2,3,3,2,5,4,5,1,5,3,5,3,5,5,5,1,4
"129","2/27/18 20:33","2/27/18 20:40",0,"146.7.4.90",100,371,1,"2/27/18 20:40","R_3KHm62ZCoc0eUrE",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,6.272,62.69,64.277,21,"",8.298,128.175,130.022,21,9.192,92.278,96.91,23,5.546,75.46,76.714,22,54742,1,1,1,1,4,1,2,4,4,1,1,1,1,3,1,1,1,1,5,2,1,2,3,3,2,1,2,1,1,1,1,1,5,2,1,5,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,5,1,1,2,3,3,3,4,1,1,3
"132","2/27/18 21:34","2/27/18 21:39",0,"146.7.4.84",100,285,1,"2/27/18 21:39","R_ApJ9lSI0YRsIu8V",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,3.408,3.408,5.393,1,"",13.608,101.427,103.314,23,9.561,82.942,83.908,23,4.574,88.486,89.794,22,55774,4,3,4,3,4,2,5,4,4,1,3,1,3,2,5,4,2,3,5,3,1,5,5,2,2,3,4,1,3,3,4,3,1,1,3,2,3,1,3,3,4,1,3,1,3,3,2,2,3,3,3,1,2,3,4,3,3,3,4,3,1,4
"133","2/28/18 8:59","2/28/18 9:10",0,"174.234.132.62",100,653,1,"2/28/18 9:10","R_2y9oQvEYL0b7dlN",NA,NA,NA,NA,38.28909302,-90.42440033,"anonymous","EN",1,5.643,41.432,48.058,9,"",0.983,162.702,164.343,66,2.766,192.153,193.729,73,13.55,237.367,241.945,69,55789,5,4,5,5,5,5,5,5,5,4,5,5,1,3,5,5,5,5,4,5,1,5,5,4,4,4,5,1,3,4,3,4,5,4,5,5,3,1,1,5,4,5,5,2,5,2,4,4,4,4,4,5,1,3,1,4,3,4,3,4,2,5
"134","2/28/18 9:18","2/28/18 9:23",0,"146.7.114.128",100,306,1,"2/28/18 9:23","R_2bGVZ42WHPp98oa",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,22.48,22.48,24.685,1,"",5.261,94.69,95.538,21,4.749,102.531,103.939,20,8.375,77.344,78.208,21,54478,4,2,1,2,4,2,4,2,2,1,4,4,4,1,4,4,5,4,5,4,1,3,3,2,2,2,4,1,1,2,1,1,2,2,2,4,1,4,1,4,4,4,4,4,4,5,4,2,1,5,4,1,1,2,4,3,3,1,3,2,4,4
"135","2/28/18 11:38","2/28/18 11:43",0,"146.7.4.89",100,338,1,"2/28/18 11:43","R_06y180uueiVroRP",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,11.275,15.164,17.137,2,"19",4.023,83.357,84.633,23,5.71,98.865,100.045,25,8.351,116.018,117.956,25,55351,4,3,3,4,5,3,4,4,4,3,4,2,3,2,4,3,4,4,3,3,1,3,4,4,2,2,4,1,1,3,3,1,4,3,3,4,2,4,1,3,4,4,3,4,4,2,3,2,2,3,2,2,1,3,4,3,3,2,4,4,4,5
"136","2/28/18 11:47","2/28/18 11:52",0,"146.7.4.85",100,303,1,"2/28/18 11:52","R_31yhI3XZ9PQ7HOn",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,5.884,5.884,7.252,1,"19",8.43,77.319,78.802,32,5.758,98.758,100.309,38,6.882,101.526,103.312,24,55338,3,4,4,4,5,4,4,4,4,3,4,5,2,3,4,4,5,4,4,5,1,4,4,5,3,4,4,3,3,4,4,3,4,1,5,5,3,4,3,5,4,5,4,4,4,2,4,3,4,5,4,2,4,3,4,3,3,3,4,4,2,4
"138","2/28/18 13:30","2/28/18 13:39",0,"12.50.138.136",100,554,1,"2/28/18 13:39","R_2ErT1Fdm8vptl56",NA,NA,NA,NA,37.20610046,-93.30319977,"anonymous","EN",1,4.776,4.776,11.623,1,"23",21.885,152.869,155.068,22,6.298,111.618,113.307,27,141.042,262.919,264.776,23,55135,1,4,3,3,4,2,4,4,4,1,3,2,3,1,4,3,3,1,4,4,1,4,3,5,3,3,5,1,3,2,2,1,5,2,2,4,2,2,1,2,4,4,3,3,2,5,1,1,3,4,2,1,1,3,4,4,3,2,4,3,4,5
"139","2/28/18 15:48","2/28/18 15:54",0,"146.7.4.89",100,384,1,"2/28/18 15:54","R_1GIHQLLknThHYrB",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,6.555,6.555,8.979,1,"18",5.682,111.387,112.91,25,3.5,112.255,115.813,27,7.642,133.985,136.226,26,54354,1,2,3,3,4,2,4,2,2,1,4,4,1,2,4,2,4,3,3,3,1,2,4,4,3,2,3,3,2,3,2,1,4,5,5,4,1,4,1,5,3,5,4,4,4,4,3,2,2,3,5,3,2,2,3,4,3,2,4,2,2,5
"141","2/28/18 16:57","2/28/18 17:03",0,"173.216.126.143",100,305,1,"2/28/18 17:03","R_OO2sEtvREEkS15n",NA,NA,NA,NA,36.9250946,-93.91970062,"anonymous","EN",1,3.618,3.618,5.276,1,"32",11.273,89.434,90.483,22,7.662,93.292,94.509,21,6.101,95.095,96.851,25,55896,2,3,4,5,3,2,3,3,3,2,3,2,2,2,5,4,3,2,3,5,1,2,3,5,1,4,4,3,1,4,2,1,2,3,1,3,3,1,1,1,4,1,1,5,4,4,3,3,2,2,1,3,1,2,2,3,3,1,1,4,4,5
"143","2/28/18 17:51","2/28/18 18:02",0,"146.7.4.90",100,651,1,"2/28/18 18:02","R_25yWAU9fgqRR80m",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,31.003,61.611,62.439,5,"19",8.319,250.108,251.79,22,8.219,168.963,170.956,24,2.985,150.258,152.02,28,54625,4,3,3,3,4,5,4,4,4,5,4,2,2,4,4,4,2,2,4,3,1,3,3,3,3,3,4,1,1,5,3,1,4,4,2,4,3,1,1,2,4,3,3,4,4,5,3,3,4,3,2,4,1,4,3,4,3,4,4,3,4,4
"144","2/28/18 18:17","2/28/18 18:25",0,"99.45.208.219",100,486,1,"2/28/18 18:25","R_1cZCtpRe9KXijKD",NA,NA,NA,NA,37.11680603,-93.32129669,"anonymous","EN",1,48.999,48.999,53.385,1,"19",6.887,117.59,120.988,21,5.405,109.512,112.647,20,14.739,182.415,186.977,23,55255,2,2,3,2,5,4,4,4,4,1,4,4,2,2,2,2,5,4,3,4,1,4,4,4,3,4,4,1,1,4,2,2,5,3,5,4,1,4,1,4,4,5,5,2,4,2,4,2,2,4,4,5,1,2,3,4,3,4,4,4,1,3
"148","3/1/18 9:04","3/1/18 9:10",0,"146.7.112.79",100,344,1,"3/1/18 9:10","R_2dGxri3ESZsAOG5",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,4.181,4.181,6.307,1,"19",6.945,108.177,109.971,23,4.03,96.886,98.513,21,6.491,115.875,117.367,23,55350,2,2,4,3,4,3,4,5,5,1,4,5,1,2,2,2,4,5,4,4,1,4,4,4,2,2,4,1,1,4,4,3,4,5,3,4,2,5,1,5,4,5,5,2,5,2,2,4,4,4,5,5,2,2,5,4,3,4,3,2,1,4
"149","3/1/18 12:03","3/1/18 12:07",0,"146.7.4.72",100,238,1,"3/1/18 12:07","R_33DuB0h2eM1kSJK",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,5.174,8.282,13.201,2,"18",3.458,59.77,61.119,21,4.869,77.267,78.777,21,3.288,72.026,74.499,20,55383,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1,3,3,3,3,3,4,1,3,4,2,1,3,4,4,3,1,4,1,5,4,5,4,5,4,4,3,3,4,4,4,1,1,4,4,4,3,4,4,2,4,4
"151","3/1/18 13:19","3/1/18 13:25",0,"173.23.72.194",100,317,1,"3/1/18 13:25","R_2fwCA57IzHc0KGy",NA,NA,NA,NA,37.17019653,-93.32969666,"anonymous","EN",1,19.068,19.068,25.38,1,"19",13.43,106.151,109.403,21,5.778,87.964,88.778,22,9.415,83.083,84.027,23,55164,3,3,3,4,4,3,4,4,4,2,4,4,4,3,4,4,4,4,4,4,1,4,4,4,3,4,4,2,2,3,2,1,4,4,3,4,2,3,1,4,4,4,4,3,3,3,2,3,3,4,4,2,1,4,2,4,3,4,3,3,2,4
"152","3/1/18 13:43","3/1/18 13:53",0,"146.7.4.85",100,623,1,"3/1/18 13:53","R_1EcI7lepVtHiL75",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,26.702,71.772,78.673,3,"19",15.58,165.356,168.452,25,12.305,163.104,173.167,22,5.654,184.307,187.259,24,54877,5,5,4,5,5,5,4,4,4,4,4,5,2,4,4,5,5,5,5,5,1,4,4,5,3,3,4,1,3,5,5,2,4,5,5,5,3,1,1,5,4,5,5,4,5,2,4,3,4,5,5,4,3,4,3,4,3,4,5,5,3,5
"153","3/1/18 14:22","3/1/18 14:28",0,"146.7.4.87",100,362,1,"3/1/18 14:28","R_s83ihAwc8g9i8lH",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,4.005,4.005,8.419,1,"19",6.184,132.86,134.131,21,3.97,102.124,103.992,20,4.558,102.817,104.593,23,55141,4,5,5,5,5,4,5,5,5,5,4,3,1,4,5,5,3,4,4,5,1,5,5,4,4,4,4,2,2,4,4,1,5,4,5,5,3,4,1,4,4,4,5,5,5,2,3,4,4,5,5,4,2,4,4,4,3,5,5,5,5,4
"154","3/1/18 14:42","3/1/18 14:43",0,"146.7.4.91",100,61,1,"3/1/18 14:43","R_2cnlAoXCNuUIBG8",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,2.798,2.798,5.272,1,"18",3.529,14.905,17.048,23,1.024,12.809,14.227,21,2.661,14.628,16.133,20,54790,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5
"157","3/2/18 0:47","3/2/18 0:56",0,"199.192.156.86",100,564,1,"3/2/18 0:56","R_uk8ZiIwRRYoT1GF",NA,NA,NA,NA,37.17019653,-93.32969666,"anonymous","EN",1,3.444,3.444,8.284,1,"19",14.48,185.381,192.664,23,9.347,167.669,170.216,20,7.778,174.779,177.786,25,55303,5,5,5,5,4,4,5,5,5,4,5,5,1,5,5,4,5,5,5,5,1,5,5,4,4,5,5,2,1,5,4,1,5,5,5,5,2,5,1,5,3,5,5,5,5,5,3,5,5,5,5,1,1,4,3,5,3,5,5,5,4,4
"158","3/2/18 8:41","3/2/18 8:49",0,"146.7.104.141",100,482,1,"3/2/18 8:49","R_W1fwOtXlHZiUHYJ",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,20.236,25.372,28.086,2,"21",164.494,240.878,242.285,21,7.915,101.716,107.722,23,3.869,92.789,94.973,23,55725,2,2,4,5,4,2,4,4,2,1,3,1,1,1,4,4,2,1,4,2,1,4,4,4,2,1,4,1,1,4,1,1,2,3,4,5,2,2,1,1,4,1,1,1,5,3,1,2,2,4,2,5,4,4,2,4,3,2,2,4,2,5
"159","3/2/18 10:17","3/2/18 10:21",0,"146.7.100.133",100,236,1,"3/2/18 10:21","R_3sywtKO5fP48H3X",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,2.593,2.593,4.709,1,"21",24.762,82.792,84.185,24,7.829,72.315,73.56,23,4.337,62.503,64.956,20,55825,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,4,5,5,5,5,1,5,5,5,5,5,5,1,1,5,5,1,5,5,5,5,3,1,1,5,4,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,3,5,5,5,4,4
"160","3/2/18 11:16","3/2/18 11:24",0,"146.7.4.86",100,472,1,"3/2/18 11:24","R_2RVywS4TS4UvXnA",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,159.515,159.515,166.195,1,"19",10.972,149.725,152.291,24,12.32,79.234,84.67,25,2.504,42.422,44.245,20,54630,4,3,4,2,3,2,4,4,4,3,4,4,2,3,4,4,4,4,4,4,1,3,4,4,3,3,4,3,5,4,3,4,4,3,4,4,4,2,2,4,4,4,3,4,4,2,2,4,3,4,4,3,2,3,3,4,3,4,2,5,3,4
"161","3/2/18 13:00","3/2/18 13:13",0,"146.7.4.85",100,797,1,"3/2/18 13:13","R_0kCv6Yi1EZ7TlHb",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,65.851,67.895,70.849,2,"19",21.558,327.011,344.292,30,5.539,147.272,154.017,23,6.173,212.251,215.944,28,55210,3,4,4,3,5,3,3,3,4,1,4,5,1,3,4,4,5,4,4,4,1,4,3,5,2,5,3,1,2,4,3,3,3,2,5,3,3,3,2,5,4,4,5,4,3,4,3,4,3,4,1,4,3,3,3,4,3,5,3,3,2,4
"162","3/2/18 15:30","3/2/18 15:39",0,"146.7.4.86",100,550,1,"3/2/18 15:39","R_3HRCX557l2iMtlx",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,45.865,51.637,58.341,3,"19",3.246,142.215,143.717,23,11.65,206.007,208.284,25,4.833,126.473,128.084,24,54696,3,4,5,5,5,5,5,5,4,4,5,3,3,4,4,5,5,5,5,5,1,4,3,5,3,5,5,1,3,4,4,2,5,5,4,5,1,3,3,3,4,3,3,3,4,3,3,5,4,5,5,4,3,5,4,4,3,5,5,5,2,4
"165","3/3/18 2:42","3/3/18 2:44",0,"173.23.72.199",100,98,1,"3/3/18 2:44","R_1k0r6G1L4qhp8d6",NA,NA,NA,NA,37.17019653,-93.32969666,"anonymous","EN",1,1.875,1.875,4.592,1,"21",2.533,16.302,44.591,23,0.53,16.262,17.417,24,1.116,13.454,15.417,25,55411,3,3,2,3,3,2,2,2,2,3,3,3,3,3,3,3,4,3,2,2,3,3,3,4,3,3,3,3,3,4,3,3,4,2,3,4,2,3,3,2,4,4,3,3,3,2,4,4,4,3,3,3,3,3,4,3,3,4,3,3,4,4
"168","3/4/18 12:04","3/4/18 12:13",0,"146.7.4.83",100,534,1,"3/4/18 12:13","R_217iBKJx6BRi56Q",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,6.123,6.123,8.476,1,"18",42.45,160.376,162.601,21,73.417,235.676,238.605,25,5.519,107.065,110.468,22,54644,3,3,3,3,4,3,3,4,3,3,5,5,5,3,3,3,5,5,5,3,1,3,3,5,3,1,3,1,1,3,2,3,5,5,3,5,2,5,3,5,4,4,5,5,4,4,3,3,3,3,4,2,3,3,2,4,3,2,4,3,4,4
"169","3/4/18 16:01","3/4/18 16:08",0,"146.7.4.86",100,382,1,"3/4/18 16:08","R_2fdlECbcvzhxJhC",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,4.706,4.706,13.429,1,"19",3.867,109.075,110.523,22,13.267,117.017,119.289,21,5.849,126.129,128.324,22,55197,3,3,3,4,5,3,4,4,4,3,5,5,1,3,4,3,5,5,4,4,1,4,4,4,3,4,4,1,3,3,3,4,3,4,5,4,3,5,1,5,4,5,5,2,4,2,3,3,3,4,5,4,4,4,4,3,3,3,5,4,2,4
"170","3/5/18 11:05","3/5/18 11:19",0,"146.7.4.85",100,868,1,"3/5/18 11:19","R_1Cw2XqrChZGamr2",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,7.579,7.579,10.043,1,"20",41.275,519.653,520.859,24,50.816,212.161,213.406,23,9.925,112.509,113.995,22,54761,3,3,2,5,4,4,5,4,4,3,5,5,1,3,4,3,4,5,5,4,1,5,4,4,4,4,5,1,4,1,3,1,2,2,5,4,4,1,1,5,4,5,5,3,5,5,4,3,3,4,5,4,1,4,5,5,3,5,4,3,4,4
